"geonameid","name","asciiname","latitude","longitude","country_code","admin1_code","admin1_name","population","timezone","hl","gl"
"3981254","Torreón","Torreon","25.54389","-103.41898","MX","07","Coahuila","735340","America/Monterrey","es","MX"
"3448636","São José dos Campos","Sao Jose dos Campos","-23.17944","-45.88694","BR","27","São Paulo","729737","America/Sao_Paulo","pt","BR"
"5419384","Denver","Denver","39.73915","-104.9847","US","CO","Colorado","729019","America/Denver","en","US"
"3514663","Álvaro Obregón","Alvaro Obregon","19.35867","-99.20329","MX","09","Mexico City","726664","America/Mexico_City","es","MX"
"3985606","San Luis Potosí","San Luis Potosi","22.15234","-100.97135","MX","24","San Luis Potosí","722772","America/Monterrey","es","MX"
"4019233","Aguascalientes","Aguascalientes","21.88262","-102.2843","MX","01","Aguascalientes","722250","America/Mexico_City","es","MX"
"3451328","Ribeirão Preto","Ribeirao Preto","-21.1775","-47.81028","BR","27","São Paulo","711825","America/Sao_Paulo","pt","BR"
"3988086","Saltillo","Saltillo","25.42595","-100.97963","MX","07","Coahuila","709671","America/Monterrey","es","MX"
"3397838","Jaboatão","Jaboatao","-8.18028","-35.00139","BR","30","Pernambuco","702621","America/Recife","pt","BR"
"7874116","Santo Domingo Oeste","Santo Domingo Oeste","18.5","-70.0","DO","37","Santo Domingo Province","701269","America/Santo_Domingo","es","DO"
"8601412","Santo Domingo Este","Santo Domingo Este","18.48511","-69.84757","DO","37","Santo Domingo Province","700000","America/Santo_Domingo","es","DO"
"4140963","Washington","Washington","38.89511","-77.03637","US","DC","District of Columbia","689545","America/New_York","en","US"
"4644585","Nashville","Nashville","36.16589","-86.78444","US","TN","Tennessee","689447","America/Chicago","en","US"
"3447399","Sorocaba","Sorocaba","-23.50167","-47.45806","BR","27","São Paulo","687357","America/Sao_Paulo","pt","BR"
"5520993","El Paso","El Paso","31.75872","-106.48693","US","TX","Texas","681124","America/Denver","en","US"
"4544349","Oklahoma City","Oklahoma City","35.46756","-97.51643","US","OK","Oklahoma","681054","America/Chicago","en","US"
"3455775","Osasco","Osasco","-23.5325","-46.79167","BR","27","São Paulo","677856","America/Sao_Paulo","pt","BR"
"4990729","Detroit","Detroit","42.33143","-83.04575","US","MI","Michigan","677116","America/Detroit","en","US"
"4005492","Guadalupe","Guadalupe","25.67678","-100.25646","MX","19","Nuevo León","673616","America/Monterrey","es","MX"
"3533462","Acapulco de Juárez","Acapulco de Juarez","16.84942","-99.90891","MX","12","Guerrero","673479","America/Mexico_City","es","MX"
"6075357","Mississauga","Mississauga","43.5789","-79.6583","CA","08","Ontario","668549","America/Toronto","en","CA"
"3471872","Aracaju","Aracaju","-10.91111","-37.07167","BR","28","Sergipe","664908","America/Maceio","pt","BR"
"3449701","Santo André","Santo Andre","-23.66389","-46.53833","BR","27","São Paulo","662373","America/Sao_Paulo","pt","BR"
"4930956","Boston","Boston","42.35843","-71.05977","US","MA","Massachusetts","653833","America/New_York","en","US"
"3515431","Tlalnepantla","Tlalnepantla","19.54005","-99.19538","MX","15","México","653410","America/Mexico_City","es","MX"
"5746545","Portland","Portland","45.52345","-122.67621","US","OR","Oregon","652503","America/Los_Angeles","en","US"
"3778045","Maturín","Maturin","9.74569","-63.18323","VE","16","Monagas","647459","America/Caracas","es","VE"
"4645421","New South Memphis","New South Memphis","35.08676","-90.05676","US","TN","Tennessee","641608","America/Chicago","en","US"
"3658666","Cuenca","Cuenca","-2.8953","-78.9963","EC","02","Azuay","636996","America/Guayaquil","es","EC"
"4641239","Memphis","Memphis","35.14953","-90.04898","US","TN","Tennessee","633104","America/Chicago","en","US"
"6317344","Jaboatão dos Guararapes","Jaboatao dos Guararapes","-8.11278","-35.01472","BR","30","Pernambuco","630008","America/Recife","pt","BR"
"3531673","Cancún","Cancun","21.17429","-86.84656","MX","23","Quintana Roo","628306","America/Cancun","es","MX"
"3465624","Contagem","Contagem","-19.93167","-44.05361","BR","15","Minas Gerais","627123","America/Sao_Paulo","pt","BR"
"4299276","Louisville","Louisville","38.25424","-85.75941","US","KY","Kentucky","624444","America/Kentucky/Louisville","en","US"
"5506956","Las Vegas","Las Vegas","36.17497","-115.13722","US","NV","Nevada","623747","America/Los_Angeles","en","US"
"3530139","Coyoacán","Coyoacan","19.3467","-99.16174","MX","09","Mexico City","620416","America/Mexico_City","es","MX"
"3463478","Feira de Santana","Feira de Santana","-12.26667","-38.96667","BR","05","Bahia","619609","America/Bahia","pt","BR"
"3587902","Villa Nueva","Villa Nueva","14.52512","-90.58544","GT","07","Guatemala","618397","America/Guatemala","es","GT"
"3465038","Cuiabá","Cuiaba","-15.59611","-56.09667","BR","14","Mato Grosso","618124","America/Cuiaba","pt","BR"
"3517270","Santa María Chimalhuacán","Santa Maria Chimalhuacan","19.42155","-98.95038","MX","15","México","612383","America/Mexico_City","es","MX"
"3515001","Tuxtla","Tuxtla","16.75357","-93.11578","MX","05","Chiapas","604147","America/Merida","es","MX"
"5263045","Milwaukee","Milwaukee","43.0389","-87.90647","US","WI","Wisconsin","600155","America/Chicago","en","US"
"6173331","Vancouver","Vancouver","49.24966","-123.11934","CA","02","British Columbia","600000","America/Vancouver","en","CA"
